city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Manila,14.5958,120.9772,Philippines,PH,Manila,primary,24922000,1780148
Quezon City,14.6500,121.0475,Philippines,PH,Quezon,admin,2960048,2960048
Zamboanga City,6.9042,122.0761,Philippines,PH,Zamboanga,admin,2100000,977234
Davao,7.0700,125.6000,Philippines,PH,Davao,admin,1776949,1776949
Caloocan City,14.6500,120.9700,Philippines,PH,Caloocan,admin,1661584,1661584
Canagatan,18.0000,121.8000,Philippines,PH,Cagayan,,1273219,1273219
Taguig City,14.5200,121.0500,Philippines,PH,Taguig,admin,886722,886722
Pasig City,14.5605,121.0765,Philippines,PH,Pasig,admin,803159,803159
Valenzuela,14.7000,120.9800,Philippines,PH,Valenzuela,admin,714978,714978
City of Parañaque,14.5008,120.9915,Philippines,PH,Parañaque,admin,689992,689992
Bacoor,14.4624,120.9645,Philippines,PH,Cavite,,664625,664625
Tondo,14.6170,120.9670,Philippines,PH,Manila,,654220,654220
Las Piñas City,14.4500,120.9800,Philippines,PH,Las Piñas,,606293,606293
Pasay City,14.5500,121.0000,Philippines,PH,Pasay,admin,440656,440656
Mandaluyong City,14.5800,121.0300,Philippines,PH,Mandaluyong,admin,425758,425758
Sampaloc,14.6031,121.0022,Philippines,PH,Manila,,388305,388305
Malabon,14.6600,120.9600,Philippines,PH,Malabon,admin,380522,380522
San Pedro,14.3583,121.0583,Philippines,PH,Laguna,,326001,326001
Navotas,14.6667,120.9417,Philippines,PH,Navotas,admin,247543,247543
Santa Ana,14.5800,121.0120,Philippines,PH,Manila,,203598,203598
General Mariano Alvarez,14.3000,121.0000,Philippines,PH,Cavite,,172433,172433
Payatas,14.7099,121.0997,Philippines,PH,Quezon,,139740,139740
San Andres,14.5739,121.0039,Philippines,PH,Rizal,,133727,133727
Santa Cruz,14.5998,120.9802,Philippines,PH,Manila,,126735,126735
San Juan,14.6040,121.0300,Philippines,PH,San Juan,admin,126347,126347
Poblacion,14.3854,121.0290,Philippines,PH,Muntinlupa,,120115,120115
Santamesa,14.6000,121.0167,Philippines,PH,Manila,,111292,111292
Rosario,14.4200,120.8500,Philippines,PH,Cavite,,110807,110807
Bagong Silangan,14.7094,121.1000,Philippines,PH,Quezon,,106886,106886
Putatan,14.3984,121.0364,Philippines,PH,Muntinlupa,,99725,99725
Malate,14.5642,120.9913,Philippines,PH,Manila,,99257,99257
Western Bicutan,14.5094,121.0381,Philippines,PH,Taguig,,87508,87508
Pandacan,14.5940,121.0070,Philippines,PH,Manila,,84769,84769
Banco Filipino International Village,14.4499,120.9996,Philippines,PH,Las Piñas,,81739,81739
Paco,14.5830,120.9830,Philippines,PH,Manila,,79839,79839
San Isidro,14.4685,121.0118,Philippines,PH,Parañaque,,79372,79372
San Antonio,14.4656,121.0311,Philippines,PH,Parañaque,,70134,70134
Pateros,14.5448,121.0671,Philippines,PH,Rizal,,65227,65227
Sucat,14.4600,121.0500,Philippines,PH,Muntinlupa,,56354,56354
Lower Bicutan,14.5033,121.0642,Philippines,PH,Taguig,,55928,55928
Tatalon,14.6242,121.0153,Philippines,PH,Quezon,,55404,55404
Don Bosco,14.4817,121.0258,Philippines,PH,Parañaque,,54188,54188
Bignay,14.7456,120.9961,Philippines,PH,Caloocan,,49716,49716
Bagumbayan,14.4744,121.0569,Philippines,PH,Taguig,,49319,49319
Upper Bicutan,14.4873,121.0503,Philippines,PH,Taguig,,44592,44592
Central Signal Village,14.5106,121.0576,Philippines,PH,Taguig,,44126,44126
Marikina Heights,14.6534,121.1187,Philippines,PH,Marikina,,40967,40967
Bayanan,14.4078,121.0500,Philippines,PH,Muntinlupa,,39150,39150
Karuhatan,14.6883,120.9761,Philippines,PH,Valenzuela,,37748,37748
Bel-Air,14.5639,121.0263,Philippines,PH,Makati,,36007,36007
Pansol,14.6514,121.0800,Philippines,PH,Quezon,,35254,35254
Baclaran,14.5319,120.9942,Philippines,PH,Parañaque,,33850,33850
Quiapo,14.6000,120.9830,Philippines,PH,Manila,,29846,29846
West Rembo,14.5667,121.0667,Philippines,PH,Makati,,29649,29649
Bagong Pag-Asa,14.6622,121.0331,Philippines,PH,Quezon,,29389,29389
Santo Niño,14.5033,121.0031,Philippines,PH,Parañaque,,28925,28925
Pinyahan,14.6400,121.0461,Philippines,PH,Quezon,,28129,28129
